Date,Open,Close,Volume,Return,Bench_Bal,Bench_Peak,Bench_DD,Fast_MA,Slow_MA,Avg_Volume_10D,Long,Sys_Ret,Sys_Bal,Sys_Peak,Sys_DD,Symbol
2020-07-07,120.5,119.94999694824219,15250,,,,,,,,False,1.0,1000000.0,1000000.0,0.0,ASTERDM.BO
2020-07-08,122.5,123.25,14662,1.0275114892514898,1027511.4892514899,1027511.4892514899,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,ASTERDM.BO
2020-07-09,124.0,123.05000305175781,10444,0.9983773067079741,1025844.153250402,1027511.4892514899,-1667.3360010879114,,,,False,1.0,1000000.0,1000000.0,0.0,ASTERDM.BO
2020-07-10,122.0,123.19999694824219,9374,1.001218967027748,1027094.6234488223,1027511.4892514899,-416.86580266756937,,,,False,1.0,1000000.0,1000000.0,0.0,ASTERDM.BO
2020-07-13,126.9000015258789,123.19999694824219,11278,1.0,1027094.6234488223,1027511.4892514899,-416.86580266756937,,,,False,1.0,1000000.0,1000000.0,0.0,ASTERDM.BO
2020-07-14,122.25,121.1500015258789,2825,0.9833604263543569,1010004.2068209016,1027511.4892514899,-17507.282430588268,,,,False,1.0,1000000.0,1000000.0,0.0,ASTERDM.BO
2020-07-15,121.5,131.75,73937,1.0874948274091174,1098374.350579179,1098374.350579179,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,ASTERDM.BO
2020-07-16,134.0,127.30000305175781,71625,0.9662239320816532,1061275.5839142466,1098374.350579179,-37098.76666493225,,,,False,1.0,1000000.0,1000000.0,0.0,ASTERDM.BO
2020-07-17,126.80000305175781,127.6500015258789,14542,1.0027493987881428,1064193.453718546,1098374.350579179,-34180.89686063281,,,,False,1.0,1000000.0,1000000.0,0.0,ASTERDM.BO
2020-07-20,125.0,126.94999694824219,24983,0.9945162195905277,1058357.6505051556,1098374.350579179,-40016.700074023334,,,24892.0,False,1.0,1000000.0,1000000.0,0.0,ASTERDM.BO
2020-07-21,124.25,128.0500030517578,7578,1.0086648769591078,1067528.189325513,1098374.350579179,-30846.161253665807,,,24124.8,False,1.0,1000000.0,1000000.0,0.0,ASTERDM.BO
2020-07-22,126.5,127.1500015258789,3648,0.9929714837607999,1060025.050111035,1098374.350579179,-38349.30046814401,,,23023.4,False,1.0,1000000.0,1000000.0,0.0,ASTERDM.BO
2020-07-23,125.1500015258789,133.75,41821,1.0519071836013922,1115047.9650092232,1115047.9650092232,0.0,125.87692319429837,,26161.1,False,1.0,1000000.0,1000000.0,0.0,ASTERDM.BO
