Date,Open,Close,Volume,Return,Bench_Bal,Bench_Peak,Bench_DD,Fast_MA,Slow_MA,Avg_Volume_10D,Long,Sys_Ret,Sys_Bal,Sys_Peak,Sys_DD,Symbol,Long_Condition,Sell_Condition,New_Sell_Condition
2020-07-07,2685.0,2851.300048828125,17984,,,,,,,,False,1.0,1000000.0,1000000.0,0.0,BAJAJHLDNG.BO,False,False,False
2020-07-08,2843.0,2799.89990234375,4006,0.9819730839953164,981973.0839953164,981973.0839953164,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,BAJAJHLDNG.BO,False,False,False
2020-07-09,2808.10009765625,2771.050048828125,4485,0.9896961125319247,971854.9438411498,981973.0839953164,-10118.140154166613,,,,False,1.0,1000000.0,1000000.0,0.0,BAJAJHLDNG.BO,False,False,False
2020-07-10,2773.0,2737.25,2575,0.9878024401463196,960000.6849945522,981973.0839953164,-21972.399000764242,,,,False,1.0,1000000.0,1000000.0,0.0,BAJAJHLDNG.BO,False,False,False
2020-07-13,2722.199951171875,2722.050048828125,3092,0.994446999297881,954669.8005167427,981973.0839953164,-27303.283478573663,,,,False,1.0,1000000.0,1000000.0,0.0,BAJAJHLDNG.BO,False,False,False
2020-07-14,2700.0,2638.0,2688,0.9691225189396097,925192.0018323604,981973.0839953164,-56781.08216295601,,,,False,1.0,1000000.0,1000000.0,0.0,BAJAJHLDNG.BO,False,False,False
2020-07-15,2630.050048828125,2605.0,3217,0.9874905231235784,913618.3338791883,981973.0839953164,-68354.75011612813,,,,False,1.0,1000000.0,1000000.0,0.0,BAJAJHLDNG.BO,False,False,False
2020-07-16,2605.949951171875,2590.949951171875,1609,0.9946065071677064,908690.7399439589,981973.0839953164,-73282.34405135748,,,,False,1.0,1000000.0,1000000.0,0.0,BAJAJHLDNG.BO,False,False,False
2020-07-17,2600.0,2638.25,2751,1.01825587129027,925279.6811350362,981973.0839953164,-56693.40286028024,,,,False,1.0,1000000.0,1000000.0,0.0,BAJAJHLDNG.BO,False,False,False
2020-07-20,2645.0,2719.800048828125,2701,1.0309106600315077,953880.6867926631,981973.0839953164,-28092.397202653345,,,4510.8,False,1.0,1000000.0,1000000.0,0.0,BAJAJHLDNG.BO,False,False,False
