Date,Open,Close,Volume,Return,Bench_Bal,Bench_Peak,Bench_DD,Fast_MA,Slow_MA,Avg_Volume_10D,Long,Sys_Ret,Sys_Bal,Sys_Peak,Sys_DD,Symbol
2020-07-07,303.5,312.375,89836,,,,,,,,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-08,320.0,323.54998779296875,233074,1.0357742706457582,1035774.2706457583,1035774.2706457583,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-09,318.45001220703125,311.3999938964844,143986,0.9624478616755231,996878.7319615346,1035774.2706457583,-38895.53868422366,,,,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-10,319.95001220703125,311.5,50016,1.0003211499854714,997198.8795518207,1035774.2706457583,-38575.391093937564,,,,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-13,312.6000061035156,312.3999938964844,99748,1.0028892259919242,1000080.0124737395,1035774.2706457583,-35694.2581720188,,,,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-14,319.0,317.67498779296875,89650,1.0168853841214616,1016966.7476365546,1035774.2706457583,-18807.523009203607,,,,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-15,322.3500061035156,314.79998779296875,36910,0.9909498698025491,1007763.0661639656,1035774.2706457583,-28011.204481792636,,,,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-16,316.6499938964844,320.95001220703125,42896,1.019536291780631,1027451.0194702882,1035774.2706457583,-8323.251175470068,,,,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-17,322.0,326.57501220703125,88730,1.01752609374064,1045458.2223514406,1045458.2223514406,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-20,329.5,342.8999938964844,45416,1.0499884592490007,1097719.0680959884,1097719.0680959884,0.0,,,92026.2,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-21,360.0249938964844,360.0249938964844,211944,1.0499416748463686,1152540.996867497,1152540.996867497,0.0,,,104237.0,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-22,360.0,360.9750061035156,116646,1.0026387395962415,1155582.2524322227,1155582.2524322227,0.0,,,92594.2,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-23,361.95001220703125,378.375,70920,1.0482027664028757,1211284.5138055221,1211284.5138055221,0.0,330.26922842172473,,85287.6,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-24,385.0,395.0,551362,1.04393789230261,1264505.8023209283,1264505.8023209283,0.0,336.624997652494,,135422.2,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-27,380.0249938964844,386.8500061035156,82630,0.9793671040595332,1238415.3856855242,1264505.8023209283,-26090.416635404108,341.4942298302284,,133710.4,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-28,394.0,392.4750061035156,72560,1.0145405193518204,1256422.5885666767,1264505.8023209283,-8083.213754251599,347.7307692307692,,132001.4,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-29,395.75,372.875,56430,0.9500604986337752,1193677.4709883952,1264505.8023209283,-70828.33133253315,352.4519230769231,,133953.4,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-30,367.5,354.3999938964844,13993788,0.9504525481635518,1134533.7939863445,1264505.8023209283,-129972.00833458384,355.6826923076923,,1529042.6,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-07-31,353.0,371.2749938964844,82898,1.0476156893076272,1188555.4026298018,1264505.8023209283,-75950.39969112654,359.80576970027045,,1528459.4,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-03,374.8500061035156,357.20001220703125,51330,0.9620901436379058,1143497.438037715,1264505.8023209283,-121008.36428321339,363.0673100398137,,1529050.8,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-04,363.75,348.57501220703125,58254,0.9758538642070342,1115886.3936199478,1264505.8023209283,-148619.40870098048,365.1923100398137,,1513681.8,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-05,351.0,363.125,360536,1.041741339119073,1162464.9859943977,1264505.8023209283,-102040.81632653065,368.00384756234973,,1538070.8,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-06,368.20001220703125,368.5249938964844,80696,1.0148708954120051,1179751.8812212385,1264505.8023209283,-84753.92109968979,369.9750014085036,,1539048.4,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-07,362.5,354.42498779296875,64150,0.9617393491973676,1134613.806460084,1264505.8023209283,-129891.99586084438,369.54423170823316,,1490327.2,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-10,360.0,351.3999938964844,30742,0.9914650659500018,1124929.95244973,1264505.8023209283,-139575.8498711984,368.8076923076923,,1485138.4,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-11,353.5,348.7749938964844,51234,0.9925298803483381,1116526.591105192,1264505.8023209283,-147979.21121573634,366.530768761268,,1483005.8,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-12,345.5,361.8999938964844,89510,1.0376317116470095,1158543.3978278812,1264505.8023209283,-105962.40449304716,363.984614445613,,1486313.8,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-13,364.8999938964844,358.25,24454,0.9899143576732737,1146858.7434973991,1264505.8023209283,-117647.05882352917,361.78461397611176,,89380.4,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-14,362.0,352.79998779296875,31272,0.9847871257305478,1129411.7256277513,1264505.8023209283,-135094.076693177,358.7326894906851,,84217.8,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-17,355.5249938964844,353.625,14628,1.0023384700554905,1132052.8211284517,1264505.8023209283,-132452.98119247658,357.2519202599159,,80547.6,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-18,350.5,360.32501220703125,51090,1.0189466587685578,1153501.4396383557,1264505.8023209283,-111004.36268257257,357.7076908991887,,79831.2,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-19,364.32501220703125,364.8999938964844,119002,1.0126968196335604,1168147.2393644962,1264505.8023209283,-96358.56295643211,357.2173062838041,,55677.8,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-20,368.0,362.8500061035156,17946,0.9943820558310278,1161584.6533926076,1264505.8023209283,-102921.14892832073,357.6519211989183,,49402.8,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-21,367.5,361.625,17826,0.9966239325260858,1157663.0652260908,1264505.8023209283,-106842.73709483747,358.655766413762,351.0198516845703,44770.4,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-24,361.0,366.5249938964844,40228,1.0135499312726841,1173349.3201968293,1264505.8023209283,-91156.48212409904,358.91730440579926,352.61249856387866,45719.0,False,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-25,369.2250061035156,369.54998779296875,62964,1.0082531722170596,1183033.1742071833,1264505.8023209283,-81472.62811374501,358.9961500901442,353.96543974034927,46892.0,True,1.0,1000000.0,1000000.0,0.0,AUBANK.BO
2020-08-26,369.07501220703125,367.0249938964844,51222,0.9931673820054381,1174949.9604529317,1264505.8023209283,-89555.84186799661,359.9653813288762,355.60146915211396,43063.2,True,0.9931673820054381,993167.3820054381,1000000.0,-6832.617994561908,AUBANK.BO
2020-08-27,368.0,365.4750061035156,50558,0.9957768876268794,1169988.0147371453,1264505.8023209283,-94517.78758378304,361.0480745755709,357.18896933162915,45673.6,True,0.9957768876268794,988973.1245459111,1000000.0,-11026.875454088906,AUBANK.BO
2020-08-28,365.0,368.1499938964844,142422,1.0073192085595344,1178551.401029162,1264505.8023209283,-85954.4012917662,362.5384591909555,358.8286752139821,56788.6,True,1.0073192085595344,996211.625104237,1000000.0,-3788.3748957630014,AUBANK.BO
